Title,URL,Deck,PubDate,icon,Latitude,Longitude
"At the Curb, Wheels for Free Expression",/visual-art/story/curb-wheels-free-expression/,"Grant Gordon's Toyota is a mobile, erasable chalkboard where passers-by can leave their thoughts",12/30/2010,wht_pushpin,37.7626214,-122.4351661
SFO Pilot Captures Nation's Attention with Security Videos,/blogs/pulse-of-the-bay/sfo-pilot-captures-attention-security/,,12/29/2010,wht_pushpin,37.615223,-122.389979
"No Bikes, But Segways May Cruise on Park Paths",/parks/story/no-bikes-segways-cruise-park-paths/,A plan to allow guided Segway tours on bike-free paths in Golden Gate Park has rankled residents,12/28/2010,wht_pushpin,37.76904,-122.4835193
"No Bikes, But Segways May Cruise on Park Paths",/parks/story/no-bikes-segways-cruise-park-paths/,A plan to allow guided Segway tours on bike-free paths in Golden Gate Park has rankled residents,12/28/2010,wht_pushpin,37.76904,-122.4835193
New Year's Eve Transit Details,/blogs/pulse-of-the-bay/tipsy-tow-and-other-nye-transit-deets/,,12/28/2010,wht_pushpin,37.7749295,-122.4194155
Trial Set for Bay Bridge Bomb Threat Suspect,/blogs/pulse-of-the-bay/trial-set-bay-bridge-standoff-suspect/,,12/23/2010,wht_pushpin,37.8113707,-122.3630019
Sharing Wheels around the City,/transportation/story/sharing-wheels-city/,A bike sharing program will hit the road in 2012; see a demo,12/21/2010,wht_pushpin,37.7749295,-122.4194155
Pay-as-You Drive Insurance Could Cut Driving,/transportation/story/pay-you-drive-insurance-could-cut/,The state approves a program that rewards infrequent drivers with low rates,12/20/2010,wht_pushpin,37.7749295,-122.4194155
Will BART Finally Run Late Night? ,/blogs/pulse-of-the-bay/will-bart-finally-run-late-night/,,12/17/2010,wht_pushpin,37.8043637,-122.2711137
SFMTA Installs 100th New Transit Shelter,/transportation/story/sfmta-installs-100th-new-transit-shelter/,"The ""smart"" shelters feature recycled steel and LED lighting, though 99 still await solar panels",12/16/2010,wht_pushpin,37.7749295,-122.4194155
SF Border War With San Mateo Called Off ,/blogs/pulse-of-the-bay/sf-border-war-san-mateo-called/,,12/15/2010,wht_pushpin,37.5629917,-122.3255254
"For AC Transit Riders, Bus Service Still a Civil Rights Issue",/transportation/story/ac-transit-riders-bus-service-still/,"In Oakland, western Alameda and Contra Costa counties, bus routes dropped by 15 percent",12/14/2010,wht_pushpin,37.8043722,-122.2708026
Muni Promises 'No Passenger Dumping' ,/blogs/pulse-of-the-bay/muni-promises-no-passenger-dumping/,,12/13/2010,wht_pushpin,37.7749295,-122.4194155
Transit Board Nominee Could Face Uphill Battle for Confirmation ,/transportation/story/new-sfmta-board-nominee-could-face/,"Mayor Newsom's pick has expertise in finance, but not transportation",12/06/2010,wht_pushpin,37.7749295,-122.4194155
Engineers Sue to Stop Doyle Drive Reconstruction ,/blogs/pulse-of-the-bay/engineers-sue-stop-doyle-drive/,,12/01/2010,wht_pushpin,37.7749295,-122.4194155
Ex-Cop Charged in Taxi-School Scheme,/crime/story/retired-sf-cop-arrested-bribery/,"Officer, school owner allegedly took bribes from students in exchange for passing grades",12/01/2010,wht_pushpin,37.775252,-122.403768
High-Speed Rail Authority Chair Blasted Engineers,/transportation/story/high-speed-rail-authority-chair-blasted/,E-mails from Curt Pringle reveal lack of faith in those designing a segment of the $43 billion project,12/01/2010,wht_pushpin,33.8352932,-117.9145036
Chinatown Not Very Pedestrian Friendly,/transportation/story/chinatown-group-analyzes-pedestrian-plan/,Neighborhood group finds unsafe conditions despite heavy foot traffic,11/30/2010,wht_pushpin,37.7749295,-122.4194155
Stimulating Road Projects Completed,/blogs/pulse-of-the-bay/stimulating-road-projects-completed/,,11/29/2010,wht_pushpin,37.7749295,-122.4194155
Airport Scanner Protest Fizzles,/blogs/pulse-of-the-bay/airport-scanner-protest-fizzles/,,11/24/2010,wht_pushpin,37.3393857,-121.8949555
AC Transit Still Faces $13 Million Deficit ,/transportation/story/ac-transit-still-faces-13-million/,"Drastic cuts to routes and weekend service were averted, but more service cuts could be on the horizon",11/24/2010,wht_pushpin,37.8043722,-122.2708026
Body Scanners: What's The Fuss All About?,/blogs/pulse-of-the-bay/body-scanners-whats-fuss-all-about/,,11/23/2010,wht_pushpin,37.7749295,-122.4194155
Traffic Jams and Turkey for Thanksgiving,/blogs/pulse-of-the-bay/traffic-jams-and-turkey-thanksgiving/,,11/23/2010,wht_pushpin,37.7749295,-122.4194155
Airport Scanner Protest Could Zap Holiday Travel,/blogs/pulse-of-the-bay/airport-scanner-protest-could-zap/,,11/22/2010,wht_pushpin,37.8043722,-122.2708026
San Francisco Finds Money for Subway,/blogs/pulse-of-the-bay/san-francisco-finds-money-subway/,,11/22/2010,wht_pushpin,37.7749295,-122.4194155
"SF, Oakland Airports to be Jammed Next Week",/blogs/pulse-of-the-bay/local-airports-be-jammed-next-week/,,11/19/2010,wht_pushpin,37.615223,-122.389979
Toll to Drive into San Francisco?,/blogs/pulse-of-the-bay/toll-drive-san-francisco/,,11/18/2010,wht_pushpin,37.7749295,-122.4194155
UCSF Shuttle Driver Kills Pedestrian in Crosswalk,/transportation/story/ucsf-shuttle-driver-kills-pedestrian/,Surveillance video of the accident taken as evidence by the police,11/18/2010,wht_pushpin,37.7749295,-122.4194155
Cleaner Cars=Less Smog,/blogs/pulse-of-the-bay/cleaner-carsless-smog/,,11/17/2010,wht_pushpin,37.8043722,-122.2708026
Fruitvale BART Closed for Protest,/blogs/pulse-of-the-bay/fruitvale-bart-closed-protest/,,11/11/2010,wht_pushpin,37.7797222,-122.2202778
BART Rejected for Federal Airport Connector Loan,/transportation/story/bart-rejected-federal-airport-connector/,Feds nix BART request for a $105 million loan for the $484 million project,11/11/2010,wht_pushpin,37.8043722,-122.2708026
A Second Bay Bridge?,/transportation/story/second-bay-bridge/,Transit officials will study plan to add a new bay crossing,11/10/2010,wht_pushpin,37.7652065,-122.2416355
New Bridge Across the Bay? ,/blogs/pulse-of-the-bay/new-bridge-across-bay/,,11/09/2010,wht_pushpin,37.7749295,-122.4194155
How To Scam BART with Clipper ,/transportation/story/how-scam-bart-clipper/,"The new Clipper card goes to a ""negative"" balance with no way to make riders pay",11/09/2010,wht_pushpin,37.7749295,-122.4194155
Clipper Cards Raise Privacy Concerns,/blogs/pulse-of-the-bay/clipper-cards-lead-privacy-concerns/,,11/08/2010,wht_pushpin,37.7749295,-122.4194155
Muni Answers the Question: Why All the Delays?,/blogs/pulse-of-the-bay/muni-answers-question-why-all-delays/,,11/08/2010,wht_pushpin,37.7749295,-122.4194155
SFMTA to Issue More Parking Tickets,/blogs/pulse-of-the-bay/sfmta-issue-more-parking-tickets/,,11/05/2010,wht_pushpin,37.7749295,-122.4194155
SFMTA Predicts Better Muni Metro Service ,/transportation/story/sfmta-predicts-better-muni-metro/,"Torn signal cables and other problems causing delays will soon be resolved, says transit director",11/04/2010,wht_pushpin,37.7749295,-122.4194155
SFMTA Releases Bus Stop Consolidation Plan,/transportation/story/sfmta-releases-bus-stop-consolidation/,The agency calls for the removal of 109 stops along five routes,11/04/2010,wht_pushpin,37.7749295,-122.4194155
"Republican Prevails, Upstart Pulls an Upset in BART Races",/elections-2010/story/fang-prevails-raburn-pulls-upset-bart/,Election a referendum on 'gold-plated' Oakland Airport connector? ,11/03/2010,wht_pushpin,37.7749295,-122.4194155
Masses Watch the Giants at Civic Center,/blogs/pulse-of-the-bay/bart-run-longer-trains-giants-fans/,,11/01/2010,wht_pushpin,37.8113707,-122.3630019
Greasing the Wheels of Bike Share Program,/bikes/story/greasing-wheels-bike-share-program/,"$4 million will expand the new program to 1,000 bikes at 100 kiosk stations",10/29/2010,wht_pushpin,37.7749295,-122.4194155
Greasing the Wheels of Bike Share Program,/bikes/story/greasing-wheels-bike-share-program/,"$4 million will expand the new program to 1,000 bikes at 100 kiosk stations",10/29/2010,wht_pushpin,37.7749295,-122.4194155
Bomb Squad Shuts Part of SF's Market Street ,/blogs/pulse-of-the-bay/section-sfs-market-street-closed-bomb/,,10/29/2010,wht_pushpin,37.7749295,-122.4194155
New Grant Will Fund Nation's Largest Urban Trail System,/outdoors/story/new-grant-fund-nations-largest-urban/,East Bay Regional Park District wins $10.2 million in federal money,10/21/2010,wht_pushpin,37.7021521,-121.9357918
"For Local Koreans, High-Speed Rail Means Jobs, Convenience",/blogs/pulse-of-the-bay/bay-area-koreans-support-high-speed-rail/,,10/19/2010,wht_pushpin,37.7749295,-122.4194155
Geithner: High-Speed Rail a 'Good Investment',/blogs/pulse-of-the-bay/geithner-high-speed-rail-good-investment/,,10/18/2010,wht_pushpin,37.4242952,-122.104183
How to Spend $1 Million in 12 Minutes,/blogs/pulse-of-the-bay/how-spend-1-million-12-minutes/,,10/18/2010,wht_pushpin,37.7749295,-122.4194155
Bus Drivers Take Appeal To Riders,/elections-2010/story/bus-drivers-take-appeal-riders/,Campaigning against pay-cut measure is tough job,10/16/2010,wht_pushpin,37.7749295,-122.4194155
New Car-Share Law Spurs Bay Area Business,/transportation/story/new-car-share-law-spurs-bay/,"In 2011, car owners will be able to share their vehicles directly with other drivers and make a few bucks",10/15/2010,wht_pushpin,37.8043722,-122.2708026
Repairs Keep San Mateo Bridge Lane Closed,/blogs/pulse-of-the-bay/repairs-keep-san-mateo-bridge-lane/,,10/14/2010,wht_pushpin,37.5629917,-122.3255254
"Fares Up, Service Down on Caltrain",/transportation/story/fares-service-down-caltrain/,"Day passes and zoned fares will increase, as will monthly and discount passes",10/08/2010,wht_pushpin,37.3393857,-121.8949555
$5 Million from the Feds Won't Stop AC Transit Cuts,/blogs/pulse-of-the-bay/5-million-feds-wont-stop-ac-transit-cuts/,,10/07/2010,wht_pushpin,37.8043722,-122.2708026
Fed Funds to Bolster Bay Area Transit,/transportation/story/fed-funds-bolster-bay-area-transit/,"Eight local transit agencies will get millions to improve service, bus shelters and reduce crowding",10/04/2010,wht_pushpin,37.8043722,-122.2708026
NUMMI's New Phase Starts Friday,/transportation/story/nummis-new-phase-starts-friday/,Tesla Motors to begin operations in former General Motors plant,09/30/2010,wht_pushpin,37.488266,-121.942262
San Francisco's Last Elected Republican Faces Test,/elections-2010/story/last-elected-republican-faces-test/,"James Fang, a BART board member for 20 years, has a strong challenger this year",09/25/2010,wht_pushpin,37.7749295,-122.4194155
AC Transit Slashes Service,/blogs/pulse-of-the-bay/ac-transit-slashes-service/,,09/23/2010,wht_pushpin,37.8043722,-122.2708026
San Jose Roads Rated Nation's Worst,/transportation/story/san-jose-roads-rated-nations-worst/,"Nearly two-thirds of city's roads are battered, causing costly car damage",09/22/2010,wht_pushpin,37.3393857,-121.8949555
Menlo Park Joins High-Speed Rail Suit,/blogs/pulse-of-the-bay/menlo-park-joins-high-speed-rail-suit/,,09/22/2010,wht_pushpin,37.4538274,-122.1821871
SFMTA Board Parses Hierarchy of Wheels,/transportation/story/sfmta-board-debates-mode-shift-goal/,"Bicycling, walking and public transit are the goal, but the reality is cars still rule the streets",09/22/2010,wht_pushpin,37.7749295,-122.4194155
Muni Approval Drops,/transportation/story/muni-approval-drops/,Only 52 percent rate San Francisco transit service as excellent or good,09/21/2010,wht_pushpin,37.7749295,-122.4194155
BART Board Upstarts Want Culture Change,/transportation/story/bart-board-challengers-hope-change/,"In SF, the anti-incumbancy narrative isn't about Tea Partiers but transit and bicycle advocates ",09/20/2010,wht_pushpin,37.7749295,-122.4194155
BART Board Commits to Airport Connector ,/transportation/story/bart-board-reaffirms-commitment-build/,"Another vote by board directors cements their vow to proceed, despite shaky funding",09/17/2010,wht_pushpin,37.8043722,-122.2708026
"Now, Gas Pipe Breaks Near Lake Merritt",/blogs/pulse-of-the-bay/gas-pipe-break-shuts-streets-oakland/,,09/16/2010,wht_pushpin,37.8043722,-122.2708026
Oakland a Pedal Happy Place,/blogs/pulse-of-the-bay/oakland-pedal-happy-place/,,09/16/2010,wht_pushpin,37.8043722,-122.2708026
Oakland a Pedal Happy Place,/blogs/pulse-of-the-bay/oakland-pedal-happy-place/,,09/16/2010,wht_pushpin,37.8043722,-122.2708026
"Regulators: Bad Air Kills 9,200 a Year",/environment/story/regulators-bad-air-kills/,Some experts contest the study by the state's Air Resources Board,09/16/2010,wht_pushpin,38.5815719,-121.4943996
DA Still Investigating Girlfriend of Hit-and-Run Driver,/bikes/story/girlfriend-driver-charged-killing-german/,"Woman took the wheel after her car hit German tourist on a bike, who later died",09/14/2010,wht_pushpin,37.7749295,-122.4194155
Schwarzenegger Rides Korean Bullet Train,/blogs/pulse-of-the-bay/schwarzenegger-rides-korean-bullet-train/,,09/13/2010,wht_pushpin,38.5815719,-121.4943996
Oakland Airport Connector: Legacy or Lunacy?,/transportation/story/oakland-airport-connector-legacy-lunacy/,Opposition continues but so does the transit agency determination to build,09/09/2010,wht_pushpin,37.8043722,-122.2708026
My Job Made Me a Casual Carpooler,/blogs/staff/my-job-made-me-casual-carpooler/,,09/09/2010,wht_pushpin,37.8043722,-122.2708026
Oakland Airport Tram Plan Rolls On,/blogs/pulse-of-the-bay/oakland-airport-tram-plan-rolls/,,09/09/2010,wht_pushpin,37.8043722,-122.2708026
"Transbay Terminal: You've Got Questions, They've Got Answers",/blogs/pulse-of-the-bay/meetings-today-update-transbay-terminal/,,09/08/2010,wht_pushpin,37.7749295,-122.4194155
California Is Tops in Worst Roads,/blogs/pulse-of-the-bay/read-while-you-are-waiting-traffic-clear/,,09/02/2010,wht_pushpin,37.8043722,-122.2708026
From Stomach Bug to Biofuel,/science/story/berkeley-scientists-next-green-energy/,Berkeley scientists use E. coli to produce green energy alternative,09/01/2010,wht_pushpin,37.8764696,-122.2500071
Construction Pollution Slows with Economy,/environment/story/arb-concedes-error-road-truck-rule-plans/,"State agency set diesel emissions levels too high, prompting change",09/01/2010,wht_pushpin,38.5815719,-121.4943996
Presidio Parkway Could Revive a Wetland Buried by Asphalt,/environment/story/presidio-parkway-could-revive-wetland/,,08/30/2010,wht_pushpin,37.800162,-122.460543
AC Transit Proposes Cutting 39 Weekend Bus Lines,/transportation/story/ac-transit-proposes-cutting-most-weekend/,Bus service would be at lowest levels in past 25 years,08/30/2010,wht_pushpin,37.8043722,-122.2708026
