Case,Date,SimpleDate,Year,Month,Day,Time,Hour,Minute,Street1,Street2,FullAddress,DisFm,Approach,datetime,P1,hit_graphic,fault_graphic,P1_icon,P1_marker,P2,P2_icon,Fatal,Injured,HR,Primary,ViolationCategory,County,City,LightingCondition,RoadSurface
3982945,01/12/2009,20090112,2009,1,12,3:26 p.m.,15,26,CANON DR,CANON DR,"CANON DR and CANON DR Kensington, California",0,N,01/12/2009 3:26 p.m.,SOLO_ACCIDENT,icon-hit-blank,icon-fault-blank,bike1,small_green,BICYCLIST,blank,0,0,NO,22350,Unsafe speed,Contra Costa,Kensington,Daylight,Dry
3982946,02/03/2009,20090203,2009,2,3,10:50 a.m.,10,50,CENTER RD,HUNE CT,"CENTER RD and HUNE CT Novato, California",44,W,02/03/2009 10:50 a.m.,AUTO,icon-hit,icon-fault,car,small_blue,BICYCLIST,bike2,0,1,YES,22107,Improper turning,Marin,Novato,Daylight,Dry
1813537,01/06/2005,20050106,2005,1,6,6:43 p.m.,18,43,SILVA AV,RAMOS AV,"SILVA AV and RAMOS AV Hayward, California",124,N,01/06/2005 6:43 p.m.,SOLO_ACCIDENT,icon-hit-blank,icon-fault-blank,bike1,small_green,BICYCLIST,blank,0,1,NO,22107,Improper turning,Alameda,Hayward,Dark - street lights,Dry
1814075,01/06/2005,20050106,2005,1,6,4:34 p.m.,16,34,LINCOLN AV,JORDAN LN,"LINCOLN AV and JORDAN LN Napa, California",528,E,01/06/2005 4:34 p.m.,BICYCLIST,icon-hit,icon-fault,bike1,small_green,AUTO,car,0,1,NO,21650,Wrong side of road,Napa,Napa,Daylight,Dry
1817040,01/10/2005,20050110,2005,1,10,6:30 p.m.,18,30,NORWOOD,WHITE RD,"NORWOOD and WHITE RD San Jose, California",0,,01/10/2005 6:30 p.m.,NO_FAULT,icon-hit-blank,icon-fault-blank,no-fault-icon,no-fault-marker,BICYCLIST,super-blank,0,1,YES,,Unknown,Santa Clara,San Jose,Dusk - dawn,Wet
1817088,01/10/2005,20050110,2005,1,10,3:59 p.m.,15,59,SANTA TERESA BL,BLOSSOM HILL RD,"SANTA TERESA BL and BLOSSOM HILL RD San Jose, California",0,,01/10/2005 3:59 p.m.,BICYCLIST,icon-hit,icon-fault,bike1,small_green,AUTO,car,0,1,NO,21202,Wrong side of road,Santa Clara,San Jose,Daylight,Dry
1817244,01/03/2005,20050103,2005,1,3,5:15 p.m.,17,15,RT 82,FAIR OAKS,"RT 82 and FAIR OAKS Sunnyvale, California",350,W,01/03/2005 5:15 p.m.,NO_FAULT,icon-hit-blank,icon-fault-blank,no-fault-icon,no-fault-marker,BICYCLIST,super-blank,0,1,NO,21804,Automobile right of way,Santa Clara,Sunnyvale,Dusk - dawn,Dry
1817254,01/08/2005,20050108,2005,1,8,9:29 p.m.,21,29,LAWRENCE EXPWY,LAKEHAVEN AV,"LAWRENCE EXPWY and LAKEHAVEN AV Sunnyvale, California",0,,01/08/2005 9:29 p.m.,BICYCLIST,icon-hit,icon-fault,bike1,small_green,AUTO,car,0,1,NO,21453,Pedestrian violation,Santa Clara,Sunnyvale,Dark - street lights,Wet
1817255,01/09/2005,20050109,2005,1,9,6:28 p.m.,18,28,SANTA PAULA,COACHELLA,"SANTA PAULA and COACHELLA Sunnyvale, California",10,N,01/09/2005 6:28 p.m.,BICYCLIST,icon-hit,icon-fault,bike1,small_green,PARKED_AUTO,car-parked,0,1,NO,22107,Improper turning,Santa Clara,Sunnyvale,Dark - street lights,Dry
1817307,01/01/2005,20050101,2005,1,1,8:02 p.m.,20,2,MARKET AV,RUMRILL BL,"MARKET AV and RUMRILL BL San Pablo, California",246,W,01/01/2005 8:02 p.m.,BICYCLIST,icon-hit,icon-fault,bike1,small_green,AUTO,car,0,1,YES,21650,Wrong side of road,Contra Costa,San Pablo,Dark - street lights,Wet
1817445,01/05/2005,20050105,2005,1,5,1:42 p.m.,13,42,SANTA CLARA ST,20TH ST,"SANTA CLARA ST and 20TH ST San Jose, California",0,,01/05/2005 1:42 p.m.,BICYCLIST,icon-hit,icon-fault,bike1,small_green,AUTO,car,0,1,NO,21202,Wrong side of road,Santa Clara,San Jose,Daylight,Wet
1817456,01/04/2005,20050104,2005,1,4,1:10 p.m.,13,10,ABORN RD,SAN FELIPE RD,"ABORN RD and SAN FELIPE RD San Jose, California",0,,01/04/2005 1:10 p.m.,BICYCLIST,icon-hit,icon-fault,bike1,small_green,AUTO,truck,0,1,NO,21802,Automobile right of way,Santa Clara,San Jose,Daylight,Dry
1817460,01/04/2005,20050104,2005,1,4,7:15 p.m.,19,15,BERRYESSA RD,MORRILL AV,"BERRYESSA RD and MORRILL AV San Jose, California",0,,01/04/2005 7:15 p.m.,BICYCLIST,icon-hit,icon-fault,bike1,small_green,AUTO,car,0,1,NO,21453,Traffic signals and signs,Santa Clara,San Jose,Dark - street lights,Wet
1817467,01/04/2005,20050104,2005,1,4,11:36 a.m.,11,36,SOUTH KING RD,RT 680,"SOUTH KING RD and RT 680 San Jose, California",0,,01/04/2005 11:36 a.m.,BICYCLIST,icon-hit,icon-fault,bike1,small_green,AUTO,car,0,1,NO,21650,Wrong side of road,Santa Clara,San Jose,Daylight,Dry
1817473,01/12/2005,20050112,2005,1,12,5:40 p.m.,17,40,BASCOM,RT 680,"BASCOM and RT 680 San Jose, California",0,,01/12/2005 5:40 p.m.,AUTO,icon-hit,icon-fault,car,small_blue,BICYCLIST,bike2,0,1,NO,21804,Automobile right of way,Santa Clara,San Jose,Dusk - dawn,Dry
