,,,"D001","D002","D003","D004","D005","D006","D007","D008","D009","D010","D011","D012","D013","D014","D015","D016","D017"
,,,"Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:"
"GEO.id","GEO.id2","GEO.display-label",,"Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:"
"Id","Id2","Geography",,,"White alone","Black or African American alone","American Indian and Alaska Native alone","Asian alone","Native Hawaiian and Other Pacific Islander alone","Some Other Race alone","Two or More Races",,"White alone","Black or African American alone","American Indian and Alaska Native alone","Asian alone","Native Hawaiian and Other Pacific Islander alone","Some Other Race alone","Two or More Races"
"1000000US060750101001000",60750101001000,"Block 1000, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750101001001",60750101001001,"Block 1001, Block Group 1, Census Tract 101, San Francisco County, California",44,43,36,3,0,4,0,0,0,1,0,0,0,0,0,1,0
"1000000US060750101001002",60750101001002,"Block 1002, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750101001003",60750101001003,"Block 1003, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750101001004",60750101001004,"Block 1004, Block Group 1, Census Tract 101, San Francisco County, California",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750101001005",60750101001005,"Block 1005, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750101001006",60750101001006,"Block 1006, Block Group 1, Census Tract 101, San Francisco County, California",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750101001007",60750101001007,"Block 1007, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750101001008",60750101001008,"Block 1008, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750101001009",60750101001009,"Block 1009, Block Group 1, Census Tract 101, San Francisco County, California",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750101001010",60750101001010,"Block 1010, Block Group 1, Census Tract 101, San Francisco County, California",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750101001011",60750101001011,"Block 1011, Block Group 1, Census Tract 101, San Francisco County, California",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750101001012",60750101001012,"Block 1012, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750101001013",60750101001013,"Block 1013, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750101001014",60750101001014,"Block 1014, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750101001015",60750101001015,"Block 1015, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750101001016",60750101001016,"Block 1016, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750101001017",60750101001017,"Block 1017, Block Group 1, Census Tract 101, San Francisco County, California",200,192,119,7,1,63,1,1,0,8,4,0,0,1,0,2,1
"1000000US060750101001018",60750101001018,"Block 1018, Block Group 1, Census Tract 101, San Francisco County, California",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750101001019",60750101001019,"Block 1019, Block Group 1, Census Tract 101, San Francisco County, California",389,357,236,12,1,101,0,0,7,32,19,1,0,0,0,7,5
"1000000US060750101001020",60750101001020,"Block 1020, Block Group 1, Census Tract 101, San Francisco County, California",93,85,64,1,0,19,0,0,1,8,4,0,0,0,0,3,1
"1000000US060750101001021",60750101001021,"Block 1021, Block Group 1, Census Tract 101, San Francisco County, California",24,24,14,4,0,4,0,0,2,0,0,0,0,0,0,0,0
"1000000US060750101001022",60750101001022,"Block 1022, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750101001023",60750101001023,"Block 1023, Block Group 1, Census Tract 101, San Francisco County, California",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"1000000US060750101001024",60750101001024,"Block 1024, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750101001025",60750101001025,"Block 1025, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750101001026",60750101001026,"Block 1026, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750101001027",60750101001027,"Block 1027, Block Group 1, Census Tract 101, San Francisco County, California",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
