"Geography Identifier","Geography Identifier",,"Geography","Total population: Total","Total population: Population of one race","Total population: White alone","Total population: Black or African American alone","Total population: American Indian and Alaska Native alone","Total population: Asian alone","Total population: Native Hawaiian and Other Pacific Islander alone","Total population: Some other race alone","Total population: Population of two or more races","Total population: Hispanic or Latino"
"16000US0600562","0600562",,"Alameda ",72259,67828,41148,4488,484,18894,434,2380,4431,6725
"16000US0600618","0600618",,"Alamo CDP",15626,15280,14119,74,34,935,18,100,346,616
"16000US0600674","0600674",,"Albany ",16444,15486,10078,675,64,4126,22,521,958,1312
"16000US0601458","0601458",,"Alum Rock CDP",13479,12678,5950,301,230,1172,53,4972,801,9029
"16000US0601640","0601640",,"American Canyon ",9774,9133,5786,717,80,1579,126,845,641,1731
"16000US0602168","0602168",,"Angwin CDP",3148,3006,2379,103,15,324,14,171,142,404
"16000US0602252","0602252",,"Antioch ",90532,84224,59148,8824,843,6697,360,8352,6308,20024
"16000US0602980","0602980",,"Ashland CDP",20793,19244,8115,4186,269,3091,237,3346,1549,6753
"16000US0603092","0603092",,"Atherton ",7194,7009,6141,50,12,704,30,72,185,200
"16000US0604415","0604415",,"Bay Point CDP",21534,19851,9960,2736,226,2400,184,4345,1683,8321
"16000US0604503","0604503",,"Bayview-Montalvin CDP",5004,4738,2388,599,55,695,38,963,266,1761
"16000US0605108","0605108",,"Belmont ",25123,24056,18889,422,72,3878,136,659,1067,2090
"16000US0605164","0605164",,"Belvedere ",2125,2113,2060,2,1,38,1,11,12,46
"16000US0605290","0605290",,"Benicia ",26865,25473,21195,1295,162,2031,78,712,1392,2424
"16000US0606000","0606000",,"Berkeley ",102743,97018,60797,14007,467,16837,146,4764,5725,10001
"16000US0606210","0606210",,"Bethel Island CDP",2312,2230,2083,33,23,22,2,67,82,203
"16000US0606933","0606933",,"Blackhawk-Camino Tassajara CDP",10048,9772,7747,232,18,1686,14,75,276,391
"16000US0606982","0606982",,"Black Point-Green Point CDP",1143,1114,1049,6,3,25,10,21,29,50
"16000US0607260","0607260",,"Bodega Bay CDP",1423,1392,1217,5,22,19,0,129,31,216
"16000US0607316","0607316",,"Bolinas CDP",1246,1213,1128,23,4,22,5,31,33,63
"16000US0607848","0607848",,"Boyes Hot Springs CDP",6665,6357,4998,28,48,61,6,1216,308,2777
"16000US0608142","0608142",,"Brentwood ",23302,22049,17201,579,143,666,73,3387,1253,6565
"16000US0608310","0608310",,"Brisbane ",3597,3412,2624,38,24,524,22,180,185,550
"16000US0608338","0608338",,"Broadmoor CDP",4026,3786,1978,74,18,1409,45,262,240,729
"16000US0608848","0608848",,"Buena Vista CDP",1704,1597,773,90,14,59,7,654,107,1123
"16000US0608968","0608968",,"Burbank CDP",5239,4947,3328,154,44,353,30,1038,292,2259
"16000US0609066","0609066",,"Burlingame ",28158,27044,21648,296,65,3881,135,1019,1114,2995
"16000US0609346","0609346",,"Byron CDP",916,896,687,40,10,20,4,135,20,237
"16000US0609892","0609892",,"Calistoga ",5190,5012,3978,17,51,51,1,914,178,1978
"16000US0610088","0610088",,"Cambrian Park CDP",3258,3094,2765,13,34,134,7,141,164,379
"16000US0610345","0610345",,"Campbell ",38138,36319,27758,964,248,5402,88,1859,1819,5083
"16000US0611964","0611964",,"Castro Valley CDP",57292,54235,40587,2946,336,7757,254,2355,3057,6984
"16000US0612902","0612902",,"Cherryland CDP",13837,12945,7319,1360,161,1151,178,2776,892,5774
"16000US0613882","0613882",,"Clayton ",10762,10361,9465,120,20,579,11,166,401,681
"16000US0614190","0614190",,"Cloverdale ",6831,6562,5323,12,106,71,5,1045,269,1823
"16000US0614232","0614232",,"Clyde CDP",694,656,566,8,2,48,2,30,38,79
"16000US0614736","0614736",,"Colma ",1191,1110,576,17,0,282,3,232,81,523
"16000US0616000","0616000",,"Concord ",121780,114551,86114,3706,929,11438,612,11752,7229,26560
"16000US0616462","0616462",,"Corte Madera ",9100,8774,7977,80,29,553,17,118,326,436
"16000US0616560","0616560",,"Cotati ",6471,6149,5407,151,58,233,15,285,322,810
"16000US0617274","0617274",,"Crockett CDP",3194,3067,2718,100,30,83,0,136,127,371
"16000US0617610","0617610",,"Cupertino ",50546,48958,25342,347,101,22462,67,639,1588,2010
"16000US0617918","0617918",,"Daly City ",103621,97209,26836,4720,456,52522,940,11735,6412,23072
"16000US0617988","0617988",,"Danville ",41715,40653,36000,382,86,3756,48,381,1062,1945
"16000US0618324","0618324",,"Deer Park CDP",1433,1401,1282,19,11,41,0,48,32,135
"16000US0619150","0619150",,"Diablo CDP",988,976,935,6,0,29,0,6,12,35
"16000US0619262","0619262",,"Dillon Beach CDP",319,312,300,1,1,9,0,1,7,3
"16000US0619339","0619339",,"Discovery Bay CDP",8981,8636,7865,165,75,160,16,355,345,937
