"Geography Identifier","Geography Identifier","Geographic Summary Level","Geography","Total population: Total","Total population: Population of one race","Total population: White alone","Total population: Black or African American alone","Total population: American Indian and Alaska Native alone","Total population: Asian alone","Total population: Native Hawaiian and Other Pacific Islander alone","Total population: Some other race alone","Total population: Population of two or more races","Total population: Hispanic or Latino"
"50000US0606","0606","500","Congressional District 6 (106th Congress), California","644600","619476","532349","13304","5536","24318","1266","42703","25124","92885"
"50000US0607","0607","500","Congressional District 7 (106th Congress), California","636367","597798","321074","105259","4599","95934","3909","67023","38569","137604"
"50000US0608","0608","500","Congressional District 8 (106th Congress), California","617094","590122","305251","56074","3097","174999","3554","47147","26972","99308"
"50000US0609","0609","500","Congressional District 9 (106th Congress), California","597285","565980","246414","156338","3655","103836","2535","53202","31305","103626"
"50000US0610","0610","500","Congressional District 10 (106th Congress), California","713341","681992","550714","26546","3762","66014","1835","33121","31349","86266"
"50000US0611","0611","500","Congressional District 11 (106th Congress), California","684178","642833","413201","45326","7456","74985","2404","99461","41345","190101"
"50000US0612","0612","500","Congressional District 12 (106th Congress), California","615370","583286","325829","16916","2283","190408","5848","42002","32084","98117"
"50000US0613","0613","500","Congressional District 13 (106th Congress), California","678177","635953","301517","49859","4404","204371","6223","69579","42224","149898"
"50000US0614","0614","500","Congressional District 14 (106th Congress), California","615917","592565","399586","19609","2433","116321","4656","49960","23352","105921"
"50000US0615","0615","500","Congressional District 15 (106th Congress), California","612416","584193","425446","13140","3274","107748","1687","32898","28223","81259"
"50000US0616","0616","500","Congressional District 16 (106th Congress), California","689817","654439","284724","24893","6854","185327","2935","149706","35378","274736"
