"Geography Identifier","Geography Identifier","Geographic Summary Level","Geography","Total population: Total","Total population:  Population of one race","Total population:  Population of one race, White alone","Total population:  Population of one race, Black or African American alone","Total population:  Population of one race, American Indian and Alaska Native alone","Total population:  Population of one race, Asian alone","Total population:  Population of one race, Native Hawaiian and Other Pacific Islander alone","Total population:  Population of one race, Some other race alone","Total population:  Population of two or more races","Total population:  Hispanic or Latino"
"62000US06001","06001","620","Assembly District 1",423396,406739,354449,4893,17062,6006,622,23707,16657,52862
"62000US06006","06006","620","Assembly District 6",423399,407654,355905,9306,2415,17237,753,22038,15745,53663
"62000US06007","06007","620","Assembly District 7",423392,402957,282031,33828,4405,38777,2073,41843,20435,83570
"62000US06008","06008","620","Assembly District 8",423393,398108,278185,33388,4023,38016,2242,42254,25285,88678
"62000US06011","06011","620","Assembly District 11",423398,397081,265320,37552,3325,47929,2066,40889,26317,90993
"62000US06012","06012","620","Assembly District 12",423402,404512,169402,20673,1302,182440,2153,28542,18890,59919
"62000US06013","06013","620","Assembly District 13",423388,404453,236753,42905,2504,87924,2345,32022,18935,69106
"62000US06014","06014","620","Assembly District 14",423398,402059,241829,65936,2076,59641,1128,31449,21339,63914
"62000US06015","06015","620","Assembly District 15",423394,405484,335706,9094,2429,32497,907,24851,17910,57442
"62000US06016","06016","620","Assembly District 16",423396,401244,146653,125745,2922,77470,2247,46207,22152,88710
"62000US06018","06018","620","Assembly District 18",423387,397814,221243,54532,3198,68347,4462,46032,25573,99620
"62000US06019","06019","620","Assembly District 19",423391,400619,255938,10170,1766,96494,5055,31196,22772,74839
"62000US06020","06020","620","Assembly District 20",423398,398638,192457,17675,2308,152463,2410,31325,24760,71457
"62000US06021","06021","620","Assembly District 21",423400,407741,304680,14745,1656,48004,3985,34671,15659,73186
"62000US06022","06022","620","Assembly District 22",423392,405133,224037,9831,1801,140969,1382,27113,18259,60080
"62000US06023","06023","620","Assembly District 23",423404,401237,152089,16314,4404,113351,1996,113083,22167,199672
"62000US06024","06024","620","Assembly District 24",423401,402789,272499,12408,2619,82113,1326,31824,20612,74140
"62000US06027","06027","620","Assembly District 27",423397,404139,323987,12284,3316,23165,1654,39733,19258,77805
"62000US06028","06028","620","Assembly District 28",423390,402091,203129,8856,5429,36968,980,146729,21299,249979
