"Voter ID","First","Second","Third",,"Undervote?","Ranked Three","Ranked 1"
102619,"Bock","Fazio","Onek",,0,1,0
102175,"Bock","Fazio","NA",,0,0,0
102126,"Bock","Fazio","NA",,0,0,0
101969,"Bock","Fazio","NA",,0,0,0
302319,"Bock","Fazio","NA",,0,0,0
100439,"Bock","Gascon","Fazio",,0,1,0
101839,"Bock","Gascon","Fazio",,0,1,0
104990,"Bock","Gascon","Fazio",,0,1,0
102555,"Bock","Gascon","Onek",,0,1,0
107129,"Bock","Gascon","Onek",,0,1,0
200259,"Bock","Gascon","NA",,0,0,0
300625,"Bock","Gascon","NA",,0,0,0
103571,"Bock","Gascon","NA",,0,0,0
105326,"Bock","Gascon","NA",,0,0,0
101871,"Bock","Onek","Bock",,0,1,0
105676,"Bock","Onek","Fazio",,0,1,0
105939,"Bock","Onek","Fazio",,0,1,0
106619,"Bock","Onek","Gascon",,0,1,0
104543,"Bock","Onek","Gascon",,0,1,0
301758,"Bock","Onek","Gascon",,0,1,0
105623,"Bock","Onek","NA",,0,0,0
101904,"Bock","Onek","NA",,0,0,0
102650,"Bock","Onek","NA",,0,0,0
302211,"Bock","NA","NA",,0,0,1
105695,"Bock","NA","NA",,0,0,1
102584,"Bock","NA","NA",,0,0,1
101043,"Bock","NA","NA",,0,0,1
101807,"Bock","NA","NA",,0,0,1
102627,"Bock","NA","NA",,0,0,1
100844,"Bock","NA","NA",,0,0,1
101297,"Bock","NA","NA",,0,0,1
101803,"Bock","NA","NA",,0,0,1
301110,"Bock","NA","NA",,0,0,1
201077,"Bock","NA","NA",,0,0,1
200230,"Bock","NA","NA",,0,0,1
104515,"Bock","NA","NA",,0,0,1
105374,"Bock","NA","NA",,0,0,1
302267,"Bock","NA","NA",,0,0,1
100694,"Bock","NA","NA",,0,0,1
100575,"Bock","NA","NA",,0,0,1
101561,"Bock","NA","NA",,0,0,1
104827,"Bock","NA","NA",,0,0,1
100786,"Bock","NA","NA",,0,0,1
103753,"Bock","NA","NA",,0,0,1
101199,"Bock","NA","NA",,0,0,1
101527,"Bock","NA","NA",,0,0,1
103550,"Fazio","Bock","Gascon",,0,1,0
100303,"Fazio","Bock","Gascon",,0,1,0
300367,"Fazio","Bock","Onek",,0,1,0
104136,"Fazio","Bock","Onek",,0,1,0
106425,"Fazio","Bock","Onek",,0,1,0
106047,"Fazio","Bock","NA",,0,0,0
200821,"Fazio","Bock","NA",,0,0,0
200171,"Fazio","Bock","NA",,0,0,0
200431,"Fazio","Gascon","Bock",,0,1,0
104993,"Fazio","Gascon","Bock",,0,1,0
201759,"Fazio","Gascon","Bock",,0,1,0
103750,"Fazio","Gascon","Fazio",,0,1,0
107692,"Fazio","Gascon","Onek",,0,1,0
302416,"Fazio","Gascon","NA",,0,0,0
105757,"Fazio","Gascon","NA",,0,0,0
103820,"Fazio","Gascon","NA",,0,0,0
106173,"Fazio","Gascon","NA",,0,0,0
106004,"Fazio","Gascon","NA",,0,0,0
200536,"Fazio","Gascon","NA",,0,0,0
300010,"Fazio","Gascon","NA",,0,0,0
201231,"Fazio","Gascon","NA",,0,0,0
106404,"Fazio","Gascon","NA",,0,0,0
103324,"Fazio","Onek","NA",,0,0,0
106095,"Fazio","NA","NA",,0,0,1
104072,"Fazio","NA","NA",,0,0,1
301006,"Fazio","NA","NA",,0,0,1
106436,"Fazio","NA","NA",,0,0,1
101718,"Fazio","NA","NA",,0,0,1
105334,"Fazio","NA","NA",,0,0,1
201425,"Fazio","NA","NA",,0,0,1
107813,"Fazio","NA","NA",,0,0,1
102543,"Fazio","NA","NA",,0,0,1
300755,"Fazio","NA","NA",,0,0,1
105563,"Fazio","NA","NA",,0,0,1
102032,"Fazio","NA","NA",,0,0,1
100117,"Fazio","NA","NA",,0,0,1
105905,"Fazio","NA","NA",,0,0,1
101397,"Fazio","NA","NA",,0,0,1
103891,"Fazio","NA","NA",,0,0,1
104587,"Fazio","NA","NA",,0,0,1
103911,"Fazio","NA","NA",,0,0,1
202284,"Fazio","NA","NA",,0,0,1
106507,"Fazio","NA","NA",,0,0,1
300926,"Fazio","NA","NA",,0,0,1
