"#","Elective Officer","Agency","Contractor","Approval","Filing","Violation","Days late","Contract amount","Source Record"
1,"Herrera, Dennis","City Attorney","Esquire Deposition Services, LLC dba Esquire Deposition Solutions",05/16/11,05/25/11,"Y",2,"$175,000 ","http://www.sfethics.org/files/yyyymmdd_20110525_126_city_attorney_esquire_deposition_services_llc_redacted.pdf"
1,"Lee, Edwin","Mayor","Indigo Films",02/01/11,09/20/11,"Y",156,"$60,750 ","http://www.sfethics.org/files/yyyymmdd_20110920_126_mayor_indigo_films_redacted.pdf"
2,"Lee, Edwin","TIDA","World Headquarters, LLC",03/01/11,09/27/11,"Y",142,"$69,680 ","http://www.sfethics.org/files/yyyymmdd_20110927_127_mayor_world_headquarters_llc_redacted.pdf"
3,"Lee, Edwin","Mayor","Bodega Wine Estate",03/01/11,09/20/11,"Y",137,"$64,000 ","http://www.sfethics.org/files/yyyymmdd_20110920_126_mayor_bodega_wine_estate_redacted.pdf"
4,"Lee, Edwin","Mayor","515 Folsom Street LLC, a California limited liability company",02/20/11,08/11/11,"Y",116,"$69,647 ","http://www.sfethics.org/files/yyyymmdd_20110811_126_mayor_515_folsom_street_llc_redacted.pdf"
5,"Lee, Edwin","Mayor","Mercy Housing California 53; Mercy Housing Calwest",03/18/11,08/11/11,"Y",97,"$493,625 ","http://www.sfethics.org/files/yyyymmdd_20110811_126_mayor_mercy_housing_california_53_redacted.pdf"
6,"Lee, Edwin","Mayor","BaySubway Airport dba Subway",04/05/11,08/01/11,"Y",77,"$52,280 ","http://www.sfethics.org/files/yyyymmdd_20110801_126_mayor_baysubway_airport_dba_subway_redacted.pdf"
7,"Lee, Edwin","Mayor","Burger Joint, Inc. dba Mission Bar and Grill",04/05/11,08/01/11,"Y",77,"Current MAG $78,680","http://www.sfethics.org/files/yyyymmdd_20110801_126_mayor_burger_joint_inc_redacted.pdf"
8,"Lee, Edwin","Mayor","Guava and Java (SFO), Inc.",04/05/11,08/01/11,"Y",77,"Current MAG $48,000","http://www.sfethics.org/files/yyyymmdd_20110801_126_mayor_guava_and_java_sfo_inc_redacted.pdf"
9,"Lee, Edwin","Mayor","Luna Azul dba Jalapeno Taqueria",04/05/11,08/01/11,"Y",77,"Current MAG $20,240","http://www.sfethics.org/files/yyyymmdd_20110801_126_mayor_luna_azul_dba_jalapeno_taqueria_redacted.pdf"
10,"Lee, Edwin","Mayor","Ocean Avenue Association",05/24/11,09/07/11,"Y",68,"$240,000 estimate","http://www.sfethics.org/files/yyyymmdd_20110907_126_mayor_ocean_avenue_association_redacted.pdf"
11,"Lee, Edwin","Mayor","Bayview Supportive Housing LLC, a California limited liability company",05/02/11,08/01/11,"Y",58,"More than $50,000","http://www.sfethics.org/files/yyyymmdd_20110801_126_mayor_bayview_supportive_housing_llc_redacted.pdf"
12,"Lee, Edwin","Mayor","McCormack Baron Salazar, Inc.",05/05/11,08/01/11,"Y",55,"More than $50,000","http://www.sfethics.org/files/yyyymmdd_20110801_126_mayor_mccormack_barron_salazar_inc_redacted.pdf"
13,"Lee, Edwin","Mayor","XpresSpa SF International, LLC",05/09/11,08/01/11,"Y",53,"Current MAG $168,888","http://www.sfethics.org/files/yyyymmdd_20110801_126_mayor_xpresspa_sf_international_llc_redacted.pdf"
14,"Lee, Edwin","Mayor","Asiana Airlines",03/01/11,05/09/11,"Y",44,"TBD each FY","http://www.sfethics.org/files/yyyymmdd_20110509_126_mayor_asiana_airlines_redacted.pdf"
15,"Lee, Edwin","Mayor","J. Avery Enterprises dba Klein's Deli",04/05/11,06/13/11,"Y",43,"Current MAG $1,127,310","http://www.sfethics.org/files/yyyymmdd_20110613_126_mayor_j_avery_enterprises_redacted.pdf"
16,"Lee, Edwin","Mayor","Treasure Island Community Development, LLC",04/21/11,06/13/11,"Y",31,"The value of the contract will be determined during the implementation of the project, based upon actual expenditures required under the DDA and actual revenues received by developer from the sale of developable lots, which sales prices will be determined in accordance with the procedures set forth in the DDA","http://www.sfethics.org/files/yyyymmdd_20110613_126_mayor_treasure_island_community_development_llc_redacted.pdf"
17,"Lee, Edwin","Mayor","Asian Neighborhood Design",03/01/11,04/14/11,"Y",28,"$256,275 ","http://www.sfethics.org/files/yyyymmdd_20110414_126_mayor_asian_neighborhood_design_redacted.pdf"
18,"Lee, Edwin","Mayor","Citibank, N.A., (Funding Lender)",06/15/11,08/01/11,"Y",27,"$41,000,000 ","http://www.sfethics.org/files/yyyymmdd_20110801_126_mayor_citibank_na_redacted.pdf"
19,"Lee, Edwin","Mayor","HV Partners 1, L.P.",06/15/11,08/01/11,"Y",27,"$41,000,000 ","http://www.sfethics.org/files/yyyymmdd_20110801_126_mayor_hv_partners_1_lp_redacted.pdf"
